type,edftype,latency,urevent,duration,endtime,sac_amplitude,sac_endpos_x,sac_endpos_y,sac_startpos_x,sac_startpos_y,sac_vmax,fix_avgpos_x,fix_avgpos_y,fix_avgpupilsize,sac_angle,trial,phase,mss,ontarget,ondistractor,present,correct,stm,inrange,bad,multi,rank,refix,scrank
fixation,0.0,72288.0,21237.0,81,0.0,3.36432613834604,982.488464355469,873.514526367188,834.245971679688,761.489379882812,223.449720737679,974.288696289062,871.357360839844,0.0,37.7938632683018,2.0,vs,1.0,False,True,True,False,cake1247.png,True,False,0.0,8.0,1.0,0.35
fixation,0.0,72393.0,21238.0,84,0.0,8.31195176567847,616.579772949219,601.934875488281,973.282897949219,882.529296875,328.286615150812,605.890747070312,597.174560546875,0.0,-141.447303372608,2.0,vs,1.0,False,True,True,False,cake815.png,True,False,1.0,9.0,2.0,0.4
fixation,0.0,72488.0,21239.0,62,0.0,1.34679805781229,536.125793457031,563.817932128906,606.3369140625,595.022094726562,88.7513019373571,539.440368652344,559.28857421875,0.0,-158.298142728338,2.0,vs,1.0,False,True,True,False,cake815.png,True,False,2.0,10.0,2.0,0.45
fixation,0.0,72604.0,21240.0,73,0.0,14.2047759282227,1304.19567871094,385.745147705078,546.088806152344,564.340209960938,439.967830642172,1312.8349609375,396.617279052734,0.0,-13.3296161841839,2.0,vs,1.0,False,True,True,False,cake1970.png,True,False,0.0,11.0,2.0,0.5
fixation,0.0,72694.0,21241.0,125,0.0,3.47639109976578,1512.01525878906,394.488891601562,1319.11865234375,398.191040039062,167.559777400589,1511.5400390625,386.505004882812,0.0,-1.85183246586965,2.0,vs,1.0,True,False,True,False,cake942.png,True,False,0.0,12.0,0.0,0.55
fixation,0.0,72999.0,21243.0,69,0.0,5.41063304577637,1049.24267578125,433.853790283203,1312.53735351562,575.133666992188,213.050176144995,1027.13513183594,421.038818359375,0.0,-152.351891022365,2.0,vs,1.0,False,True,True,False,donut373.png,True,False,0.0,14.0,0.0,0.65
fixation,0.0,73101.0,21244.0,72,0.0,7.9862002980957,622.933959960938,613.599975585938,1015.54144287109,417.947570800781,427.438619564143,603.123291015625,586.487854003906,0.0,153.388112681726,2.0,vs,1.0,False,True,True,False,cake815.png,True,False,1.0,15.0,3.0,0.7
fixation,0.0,73183.0,21245.0,79,0.0,1.07834964445078,538.148193359375,541.36279296875,593.743408203125,573.323608398438,77.8896626059459,533.720153808594,546.080322265625,0.0,-151.728938867085,2.0,vs,1.0,False,True,True,False,cake815.png,True,False,2.0,16.0,3.0,0.75
fixation,0.0,73289.0,21246.0,88,0.0,5.94859434301758,796.581176757812,726.186340332031,525.797180175781,547.207641601562,323.698762052868,813.982604980469,749.069152832031,0.0,33.2928145431217,2.0,vs,1.0,False,True,True,False,cake1023.png,True,False,1.0,17.0,2.0,0.8
fixation,0.0,73382.0,21247.0,83,0.0,0.278461511728887,795.970336914062,736.121154785156,807.303283691406,754.090209960938,35.4698446277669,808.970886230469,738.486999511719,0.0,-123.105941508485,2.0,vs,1.0,False,True,True,False,cake1023.png,True,False,2.0,18.0,2.0,0.85
fixation,0.0,73495.0,21248.0,106,0.0,3.50957123181152,964.051391601562,864.066772460938,817.463256835938,740.899291992188,226.327503438592,969.69921875,869.541931152344,0.0,40.1606243950829,2.0,vs,1.0,False,True,True,False,cake1247.png,True,False,0.0,19.0,2.0,0.9
fixation,0.0,73635.0,21249.0,36,0.0,12.426150841292,798.335815429688,216.252655029297,973.648986816406,869.064331054688,361.956204037314,809.66357421875,206.63313293457,0.0,-104.922624732706,2.0,vs,1.0,False,True,True,False,cake1210.png,True,False,1.0,20.0,2.0,0.95
fixation,0.0,73675.0,21250.0,66,0.0,0.166358914058703,796.26171875,187.364700317383,805.578796386719,198.329528808594,27.5586411506758,797.036560058594,192.756851196289,0.0,-128.047630710665,2.0,vs,1.0,False,True,True,False,cake1210.png,True,False,2.0,21.0,2.0,1.0
fixation,0.0,77096.0,21259.0,106,0.0,7.03220708666992,1346.63989257812,603.594177246094,970.428161621094,533.58251953125,272.76354105365,1355.96887207031,610.44287109375,0.0,10.5151001328967,3.0,vs,1.0,False,True,True,False,bird108.png,True,False,0.0,1.0,0.0,0.0
fixation,0.0,77225.0,21260.0,96,0.0,5.7126388768594,1437.53833007812,305.792175292969,1360.66137695312,613.069519042969,186.943891409111,1435.42517089844,307.637176513672,0.0,-75.8675389465319,3.0,vs,1.0,False,True,True,False,bird204.png,True,False,0.0,2.0,0.0,0.043478260869565216
fixation,0.0,77435.0,21263.0,91,0.0,2.2635391351017,431.123443603516,141.383941650391,517.553161621094,231.332595825195,133.367716360571,418.494171142578,127.752983093262,0.0,-133.755406834836,3.0,vs,1.0,False,True,True,False,bird162.png,True,False,0.0,5.0,0.0,0.17391304347826086
fixation,0.0,77556.0,21264.0,163,0.0,5.72901934411621,718.802978515625,72.3473358154297,414.494445800781,133.152770996094,253.988712865683,723.483703613281,68.4506683349609,0.0,-11.2325517410513,3.0,vs,1.0,False,True,True,False,bird151.png,True,False,0.0,6.0,1.0,0.21739130434782608
fixation,0.0,77830.0,21266.0,81,0.0,0.280177692153816,942.630981445312,311.245056152344,942.141357421875,288.237762451172,37.0645547478745,937.419006347656,304.324493408203,0.0,89.1972750291989,3.0,vs,1.0,False,True,True,False,bird105.png,True,False,1.0,8.0,0.0,0.30434782608695654
fixation,0.0,77916.0,21267.0,40,0.0,0.272495460432969,955.997192382812,345.153137207031,947.564270019531,327.145690917969,34.145756858935,947.765808105469,343.830017089844,0.0,65.2537634548914,3.0,vs,1.0,False,True,True,False,bird105.png,True,False,2.0,9.0,0.0,0.34782608695652173
fixation,0.0,77975.0,21268.0,166,0.0,4.10162417079655,1091.25842285156,158.851211547852,946.416687011719,335.071685791016,174.678551887253,1080.2275390625,162.144409179688,0.0,-49.7540137284051,3.0,vs,1.0,False,True,True,False,bird109.png,True,False,0.0,10.0,1.0,0.391304347826087
fixation,0.0,78173.0,21269.0,70,0.0,10.2954542436523,572.845336914062,386.173187255859,1075.72717285156,141.075317382812,415.294912917978,552.7998046875,383.284820556641,0.0,154.06329054156,3.0,vs,1.0,False,True,True,False,bird96.png,True,False,1.0,11.0,0.0,0.43478260869565216
fixation,0.0,78251.0,21270.0,97,0.0,1.02901284070854,548.324890136719,438.797058105469,544.325439453125,376.771820068359,86.5247256987609,549.438354492188,432.554962158203,0.0,86.0875804405187,3.0,vs,1.0,False,True,True,False,bird96.png,True,False,2.0,12.0,0.0,0.4782608695652174
fixation,0.0,78369.0,21271.0,61,0.0,3.44126215949299,444.674926757812,590.198974609375,549.7744140625,437.149719238281,349.551843434093,432.444580078125,598.620666503906,0.0,124.030611100268,3.0,vs,1.0,False,True,True,False,bird82.png,True,False,0.0,13.0,0.0,0.5217391304347826
fixation,0.0,78613.0,21273.0,93,0.0,10.0495992443848,992.759155273438,945.200012207031,460.454315185547,805.498291015625,428.384896426624,1012.90795898438,959.236206054688,0.0,14.8550672183199,3.0,vs,1.0,False,True,True,False,bird89.png,True,False,0.0,15.0,0.0,0.6086956521739131
fixation,0.0,78731.0,21274.0,78,0.0,3.36354974682617,1157.91149902344,841.828552246094,1020.93634033203,962.922973632812,215.27934049821,1156.40783691406,836.750854492188,0.0,-41.3823847281527,3.0,vs,1.0,False,True,True,False,bird295.png,True,False,0.0,16.0,0.0,0.6521739130434783
fixation,0.0,78822.0,21275.0,155,0.0,2.19095258324543,1061.76721191406,747.7119140625,1156.61901855469,824.41015625,139.795486154279,1060.42858886719,752.553405761719,0.0,-140.790482220868,3.0,vs,1.0,False,True,True,False,bird208.png,True,False,1.0,17.0,0.0,0.6956521739130435
fixation,0.0,78982.0,21276.0,70,0.0,0.245273664966205,1040.47705078125,765.161499023438,1056.33410644531,756.565979003906,31.3149094388646,1038.4638671875,767.58203125,0.0,153.201697246163,3.0,vs,1.0,False,True,True,False,bird208.png,True,False,2.0,18.0,0.0,0.7391304347826086
fixation,0.0,79082.0,21277.0,37,0.0,9.98435364137504,1055.81555175781,225.757949829102,1026.72631835938,768.383911132812,315.658425457714,1058.53833007812,229.585723876953,0.0,-86.6541355095271,3.0,vs,1.0,False,True,True,False,bird109.png,True,False,1.0,19.0,2.0,0.782608695652174
